Season;Transfers incoming;Continent;Transfers outgoing;Continent;Number of transfers;Total club-to-club compensation
2021/2022;Azerbaijan;;Bolivia;;2;0
2021/2022;Azerbaijan;;Brazil;;2;0
2021/2022;Azerbaijan;;Bulgaria;;2;0
2021/2022;Azerbaijan;;Costa Rica;;2;0
2021/2022;Azerbaijan;;Croatia;;6;0
2021/2022;Azerbaijan;;Cyprus;;8;0
2021/2022;Azerbaijan;;Egypt;;6;0
2021/2022;Azerbaijan;;Spain;;4;0
2021/2022;Azerbaijan;;Estonia;;2;0
2021/2022;Azerbaijan;;France;;2;0
2021/2022;Azerbaijan;;Georgia;;6;0
2021/2022;Azerbaijan;;Germany;;2;0
2021/2022;Azerbaijan;;Ghana;;2;0
2021/2022;Azerbaijan;;Greece;;4;0
2021/2022;Azerbaijan;;Hong Kong;;2;0
2021/2022;Azerbaijan;;Iran;;4;0
2021/2022;Azerbaijan;;Kazakhstan;;4;0
2021/2022;Azerbaijan;;Saudi Arabia;;2;0
2021/2022;Azerbaijan;;Lithuania;;2;0
2021/2022;Azerbaijan;;Latvia;;2;0
2021/2022;Azerbaijan;;Moldova;;6;150000
2021/2022;Azerbaijan;;FYR Macedonia;;2;0
2021/2022;Azerbaijan;;Mali;;4;0
2021/2022;Azerbaijan;;Montenegro;;2;0
2021/2022;Azerbaijan;;Oman;;2;0
2021/2022;Azerbaijan;;Portugal;;2;0
2021/2022;Azerbaijan;;Romania;;10;510000
2021/2022;Azerbaijan;;Russia;;20;0
2021/2022;Azerbaijan;;Scotland;;2;0
2021/2022;Azerbaijan;;Serbia;;8;675000
2021/2022;Azerbaijan;;Switzerland;;2;0
2021/2022;Azerbaijan;;Slovenia;;4;150000
2021/2022;Azerbaijan;;Sweden;;2;55500
2021/2022;Azerbaijan;;Turkey;;10;0
2021/2022;Azerbaijan;;Ukraine;;8;0
2021/2022;Belgium;;Angola;;2;0
2021/2022;Belgium;;Argentina;;2;3430456,303
2021/2022;Belgium;;Burkina Faso;;2;0
2021/2022;Belgium;;Bosnia-Herzegovina;;4;0
2021/2022;Belgium;;Brazil;;16;1493257,45
2021/2022;Belgium;;Bulgaria;;2;0
2021/2022;Belgium;;Canada;;2;0
2021/2022;Belgium;;Congo DR;;4;1008957,736
2021/2022;Belgium;;Colombia;;4;6750000
2021/2022;Belgium;;Croatia;;4;4035830,945
2021/2022;Belgium;;Cyprus;;6;0
2021/2022;Belgium;;Czech Republic;;4;821291,5973
2021/2022;Belgium;;Denmark;;4;847524,4985
2021/2022;Belgium;;Egypt;;6;0
2021/2022;Belgium;;England;;22;2219707,02
2021/2022;Belgium;;Spain;;22;0
2021/2022;Belgium;;Estonia;;2;0
2021/2022;Belgium;;Finland;;6;1109853,51
2021/2022;Belgium;;France;;74;25425734,95
2021/2022;Belgium;;Germany;;22;0
2021/2022;Belgium;;Ghana;;2;201791,5473
2021/2022;Belgium;;Greece;;12;0
2021/2022;Belgium;;Hungary;;2;0
2021/2022;Belgium;;India;;2;0
2021/2022;Belgium;;Iceland;;2;1049316,046
2021/2022;Belgium;;Israel;;20;12268926,07
2021/2022;Belgium;;Italy;;48;6134463,037
2021/2022;Belgium;;Kenya;;4;0
2021/2022;Belgium;;Saudi Arabia;;2;0
2021/2022;Belgium;;Libya;;2;0
2021/2022;Belgium;;Luxembourg;;6;0
2021/2022;Belgium;;Netherlands;;62;17725369,51
2021/2022;Belgium;;Nigeria;;2;0
2021/2022;Belgium;;Northern Ireland;;2;0
2021/2022;Belgium;;Norway;;12;15929424,74
2021/2022;Belgium;;Paraguay;;2;0
2021/2022;Belgium;;Peru;;2;0
2021/2022;Belgium;;Poland;;2;4439414,04
2021/2022;Belgium;;Portugal;;12;1331824,212
2021/2022;Belgium;;Qatar;;2;0
2021/2022;Belgium;;Romania;;4;0
2021/2022;Belgium;;South Africa;;12;4989296,006
2021/2022;Belgium;;Russia;;6;8071661,89
2021/2022;Belgium;;Rwanda;;2;322866,4756
2021/2022;Belgium;;Serbia;;6;0
2021/2022;Belgium;;Switzerland;;4;0
2021/2022;Belgium;;Sweden;;4;4894453,979
2021/2022;Belgium;;Trinidad and Tobago;;2;0
2021/2022;Belgium;;Turkey;;12;0
2021/2022;Belgium;;Ukraine;;2;0
2021/2022;Belgium;;Uruguay;;14;0
2021/2022;Belgium;;USA;;4;0
2021/2022;Belgium;;Vietnam;;2;0
2021/2022;Belgium;;Wales;;2;0
2021/2022;Bosnia-Herzegovina;;Albania;;2;0
2021/2022;Bosnia-Herzegovina;;Armenia;;2;0
2021/2022;Bosnia-Herzegovina;;Azerbaijan;;6;0
2021/2022;Bosnia-Herzegovina;;Belgium;;4;0
2021/2022;Bosnia-Herzegovina;;Croatia;;32;0
2021/2022;Bosnia-Herzegovina;;Czech Republic;;8;0
2021/2022;Bosnia-Herzegovina;;Germany;;4;0
2021/2022;Bosnia-Herzegovina;;Greece;;2;0
2021/2022;Bosnia-Herzegovina;;Iran;;2;0
2021/2022;Bosnia-Herzegovina;;Kazakhstan;;2;0
2021/2022;Bosnia-Herzegovina;;FYR Macedonia;;6;0
2021/2022;Bosnia-Herzegovina;;Montenegro;;2;0
2021/2022;Bosnia-Herzegovina;;Poland;;6;0
2021/2022;Bosnia-Herzegovina;;Romania;;6;0
2021/2022;Bosnia-Herzegovina;;Russia;;4;0
2021/2022;Bosnia-Herzegovina;;Serbia;;30;0
2021/2022;Bosnia-Herzegovina;;Slovakia;;8;0
2021/2022;Belarus;;Armenia;;12;645732,9512
2021/2022;Belarus;;Azerbaijan;;4;0
2021/2022;Belarus;;Brazil;;2;1500000
2021/2022;Belarus;;Czech Republic;;2;0
2021/2022;Belarus;;Georgia;;2;0
2021/2022;Belarus;;Germany;;2;0
2021/2022;Belarus;;Hong Kong;;2;0
2021/2022;Belarus;;Kazakhstan;;2;0
2021/2022;Belarus;;Latvia;;4;0
2021/2022;Belarus;;Moldova;;2;0
2021/2022;Belarus;;FYR Macedonia;;2;121074,9284
2021/2022;Belarus;;Nigeria;;2;0
2021/2022;Belarus;;Poland;;18;30000
2021/2022;Belarus;;Russia;;16;1890000
2021/2022;Belarus;;Serbia;;8;605374,6418
2021/2022;Belarus;;Ukraine;;42;180000
2021/2022;Belarus;;Uzbekistan;;4;0
2021/2022;Bulgaria;;Albania;;2;403583,0945
2021/2022;Bulgaria;;Argentina;;2;0
2021/2022;Bulgaria;;Armenia;;4;0
2021/2022;Bulgaria;;Austria;;2;0
2021/2022;Bulgaria;;Azerbaijan;;8;0
2021/2022;Bulgaria;;Belgium;;8;282508,1662
2021/2022;Bulgaria;;Bosnia-Herzegovina;;2;0
2021/2022;Bulgaria;;Belarus;;2;0
2021/2022;Bulgaria;;Brazil;;16;1614332,378
2021/2022;Bulgaria;;Chile;;2;0
2021/2022;Bulgaria;;China PR;;2;0
2021/2022;Bulgaria;;Croatia;;2;0
2021/2022;Bulgaria;;Cyprus;;36;1008957,736
2021/2022;Bulgaria;;Denmark;;2;0
2021/2022;Bulgaria;;Egypt;;6;193990,27
2021/2022;Bulgaria;;England;;4;0
2021/2022;Bulgaria;;Spain;;6;0
2021/2022;Bulgaria;;Finland;;2;0
2021/2022;Bulgaria;;France;;20;0
2021/2022;Bulgaria;;Germany;;2;0
2021/2022;Bulgaria;;Greece;;10;0
2021/2022;Bulgaria;;Israel;;10;0
2021/2022;Bulgaria;;Italy;;4;0
2021/2022;Bulgaria;;Kazakhstan;;4;0
2021/2022;Bulgaria;;Moldova;;2;0
2021/2022;Bulgaria;;FYR Macedonia;;2;0
2021/2022;Bulgaria;;Malta;;4;0
2021/2022;Bulgaria;;Montenegro;;2;40358,30945
2021/2022;Bulgaria;;Netherlands;;10;1419603,535
2021/2022;Bulgaria;;Poland;;6;472192,2206
2021/2022;Bulgaria;;Portugal;;6;403583,0945
2021/2022;Bulgaria;;Romania;;12;0
2021/2022;Bulgaria;;Russia;;6;763583,0945
2021/2022;Bulgaria;;Scotland;;4;0
2021/2022;Bulgaria;;Singapore;;2;0
2021/2022;Bulgaria;;Serbia;;8;201791,5473
2021/2022;Bulgaria;;Switzerland;;8;0
2021/2022;Bulgaria;;Slovakia;;2;403583,0945
2021/2022;Bulgaria;;Slovenia;;4;0
2021/2022;Bulgaria;;Turkey;;2;0
2021/2022;Bulgaria;;Ukraine;;2;0
2021/2022;Bulgaria;;Uruguay;;4;0
2021/2022;Bulgaria;;Venezuela;;4;0
2021/2022;Croatia;;Albania;;4;0
2021/2022;Croatia;;Australia;;4;0
2021/2022;Croatia;;Austria;;6;0
2021/2022;Croatia;;Azerbaijan;;2;0
2021/2022;Croatia;;Belgium;;2;0
2021/2022;Croatia;;Bosnia-Herzegovina;;22;1298633,776
2021/2022;Croatia;;Brazil;;4;0
2021/2022;Croatia;;Bulgaria;;2;0
2021/2022;Croatia;;China PR;;4;0
2021/2022;Croatia;;Czech Republic;;2;0
2021/2022;Croatia;;England;;2;0
2021/2022;Croatia;;Finland;;2;0
2021/2022;Croatia;;France;;2;0
2021/2022;Croatia;;Germany;;12;10089577,36
2021/2022;Croatia;;Greece;;4;0
2021/2022;Croatia;;Hungary;;8;0
2021/2022;Croatia;;Iran;;2;0
2021/2022;Croatia;;Israel;;2;0
2021/2022;Croatia;;Italy;;4;24214,98567
2021/2022;Croatia;;Japan;;2;0
2021/2022;Croatia;;Korea Republic;;6;0
2021/2022;Croatia;;Mexico;;6;0
2021/2022;Croatia;;FYR Macedonia;;2;0
2021/2022;Croatia;;Montenegro;;2;2925977,435
2021/2022;Croatia;;Poland;;4;0
2021/2022;Croatia;;Portugal;;2;100895,7736
2021/2022;Croatia;;Russia;;2;423,7622492
2021/2022;Croatia;;Scotland;;2;0
2021/2022;Croatia;;Slovenia;;12;0
2021/2022;Croatia;;Sweden;;4;0
2021/2022;Croatia;;Turkey;;4;0
2021/2022;Croatia;;Ukraine;;4;0
2021/2022;Cyprus;;Albania;;6;0
2021/2022;Cyprus;;Argentina;;2;0
2021/2022;Cyprus;;Azerbaijan;;2;0
2021/2022;Cyprus;;Belgium;;8;195326,8359
2021/2022;Cyprus;;Bahrain;;2;0
2021/2022;Cyprus;;Bosnia-Herzegovina;;2;0
2021/2022;Cyprus;;Belarus;;2;0
2021/2022;Cyprus;;Brazil;;4;0
2021/2022;Cyprus;;Bulgaria;;24;1077575,794
2021/2022;Cyprus;;Croatia;;2;0
2021/2022;Cyprus;;Czech Republic;;4;4977599,277
2021/2022;Cyprus;;England;;24;0
2021/2022;Cyprus;;Spain;;16;0
2021/2022;Cyprus;;France;;22;0
2021/2022;Cyprus;;Germany;;8;0
2021/2022;Cyprus;;Ghana;;6;0
2021/2022;Cyprus;;Greece;;70;0
2021/2022;Cyprus;;Hungary;;8;1614332,378
2021/2022;Cyprus;;Iran;;2;0
2021/2022;Cyprus;;Israel;;14;403,5830945
2021/2022;Cyprus;;Italy;;2;0
2021/2022;Cyprus;;Lithuania;;2;0
2021/2022;Cyprus;;Luxembourg;;2;0
2021/2022;Cyprus;;Latvia;;2;0
2021/2022;Cyprus;;Morocco;;2;0
2021/2022;Cyprus;;Moldova;;2;0
2021/2022;Cyprus;;Maldives;;2;0
2021/2022;Cyprus;;FYR Macedonia;;4;0
2021/2022;Cyprus;;Malta;;2;0
2021/2022;Cyprus;;Montenegro;;2;0
2021/2022;Cyprus;;Netherlands;;6;645732,9512
2021/2022;Cyprus;;Peru;;2;0
2021/2022;Cyprus;;Poland;;14;0
2021/2022;Cyprus;;Portugal;;68;403583,0945
2021/2022;Cyprus;;Romania;;18;0
2021/2022;Cyprus;;South Africa;;2;0
2021/2022;Cyprus;;Scotland;;10;0
2021/2022;Cyprus;;Sierra Leone;;2;0
2021/2022;Cyprus;;Serbia;;14;0
2021/2022;Cyprus;;Switzerland;;4;0
2021/2022;Cyprus;;Slovakia;;8;0
2021/2022;Cyprus;;Slovenia;;4;0
2021/2022;Cyprus;;Sweden;;4;0
2021/2022;Cyprus;;Turkey;;4;0
2021/2022;Cyprus;;Ukraine;;2;0
2021/2022;Cyprus;;USA;;6;0
2021/2022;Cyprus;;Venezuela;;2;0
2021/2022;Cyprus;;Wales;;2;0
2021/2022;Czech Republic;;Argentina;;2;0
2021/2022;Czech Republic;;Austria;;8;0
2021/2022;Czech Republic;;Belgium;;2;0
2021/2022;Czech Republic;;Burkina Faso;;2;0
2021/2022;Czech Republic;;Bosnia-Herzegovina;;10;0
2021/2022;Czech Republic;;Côte d'Ivoire;;4;0
2021/2022;Czech Republic;;Croatia;;6;0
2021/2022;Czech Republic;;England;;6;117560,3696
2021/2022;Czech Republic;;Spain;;2;0
2021/2022;Czech Republic;;Estonia;;4;0
2021/2022;Czech Republic;;France;;4;0
2021/2022;Czech Republic;;Germany;;2;0
2021/2022;Czech Republic;;Greece;;8;0
2021/2022;Czech Republic;;Hungary;;2;0
2021/2022;Czech Republic;;Italy;;6;201791,5473
2021/2022;Czech Republic;;Latvia;;2;0
2021/2022;Czech Republic;;Netherlands;;2;0
2021/2022;Czech Republic;;Romania;;4;0
2021/2022;Czech Republic;;Russia;;4;0
2021/2022;Czech Republic;;Serbia;;2;20179,15473
2021/2022;Czech Republic;;Slovakia;;86;2885619,126
2021/2022;Czech Republic;;Sweden;;2;0
2021/2022;Czech Republic;;Turkey;;2;2219707,02
2021/2022;Czech Republic;;Ukraine;;4;0
2021/2022;Denmark;;Argentina;;2;0
2021/2022;Denmark;;Belgium;;6;0
2021/2022;Denmark;;China PR;;2;0
2021/2022;Denmark;;Croatia;;8;0
2021/2022;Denmark;;England;;10;0
2021/2022;Denmark;;Spain;;6;0
2021/2022;Denmark;;France;;2;0
2021/2022;Denmark;;Faroe Islands;;4;0
2021/2022;Denmark;;Germany;;10;807166,189
2021/2022;Denmark;;Greece;;2;0
2021/2022;Denmark;;Hungary;;2;0
2021/2022;Denmark;;Iceland;;14;249645,1397
2021/2022;Denmark;;Italy;;2;0
2021/2022;Denmark;;Kazakhstan;;2;0
2021/2022;Denmark;;Lithuania;;2;0
2021/2022;Denmark;;Moldova;;2;0
2021/2022;Denmark;;Netherlands;;10;2925977,435
2021/2022;Denmark;;Nigeria;;10;795058,6962
2021/2022;Denmark;;Norway;;12;17765684,8
2021/2022;Denmark;;South Africa;;4;0
2021/2022;Denmark;;Russia;;2;645732,9512
2021/2022;Denmark;;Scotland;;2;0
2021/2022;Denmark;;El Salvador;;4;0
2021/2022;Denmark;;Sweden;;20;5993532,772
2021/2022;Denmark;;Turkey;;2;0
2021/2022;Denmark;;USA;;4;60000
2021/2022;England;;Albania;;2;0
2021/2022;England;;Angola;;2;0
2021/2022;England;;Argentina;;2;0
2021/2022;England;;Australia;;18;1179316,358
2021/2022;England;;Austria;;8;807166,189
2021/2022;England;;Azerbaijan;;2;0
2021/2022;England;;Belgium;;14;154370533,7
2021/2022;England;;Bermuda;;4;0
2021/2022;England;;Brazil;;6;20784596,54
2021/2022;England;;Bulgaria;;2;0
2021/2022;England;;Canada;;4;0
2021/2022;England;;China PR;;2;0
2021/2022;England;;Costa Rica;;2;13500000
2021/2022;England;;Cyprus;;6;0
2021/2022;England;;Czech Republic;;4;2623290,114
2021/2022;England;;Denmark;;4;403583,0945
2021/2022;England;;Spain;;98;388914569,9
2021/2022;England;;Finland;;10;0
2021/2022;England;;France;;64;104568379,8
2021/2022;England;;Germany;;42;93106624,61
2021/2022;England;;Greece;;24;1210749,284
2021/2022;England;;Hungary;;8;0
2021/2022;England;;Indonesia;;2;0
2021/2022;England;;India;;2;0
2021/2022;England;;Republic of Ireland;;68;16298446,43
2021/2022;England;;Iceland;;10;2078452,937
2021/2022;England;;Italy;;50;70856446,24
2021/2022;England;;Jamaica;;2;0
2021/2022;England;;Japan;;2;0
2021/2022;England;;Korea Republic;;2;10500000
2021/2022;England;;Mexico;;4;16869773,35
2021/2022;England;;Malta;;4;0
2021/2022;England;;Netherlands;;30;63581969,32
2021/2022;England;;Nigeria;;4;1626332,378
2021/2022;England;;Northern Ireland;;12;1470255,683
2021/2022;England;;Norway;;8;1622333,101
2021/2022;England;;New Zealand;;4;23512,07393
2021/2022;England;;Peru;;2;15000
2021/2022;England;;Poland;;2;0
2021/2022;England;;Portugal;;14;2956582,034
2021/2022;England;;Romania;;4;1410724,436
2021/2022;England;;South Africa;;2;0
2021/2022;England;;Scotland;;192;58963797,21
2021/2022;England;;Serbia;;4;36950283,97
2021/2022;England;;Switzerland;;2;294489,7542
2021/2022;England;;Slovakia;;2;0
2021/2022;England;;Slovenia;;4;0
2021/2022;England;;Sweden;;12;2845260,816
2021/2022;England;;Tunisia;;4;0
2021/2022;England;;Turkey;;12;28250816,62
2021/2022;England;;United Arab Emirates;;2;0
2021/2022;England;;Uruguay;;10;31421535,59
2021/2022;England;;USA;;32;13018899,72
2021/2022;England;;Wales;;118;10598111,73
2021/2022;Spain;;Argentina;;28;403583,0945
2021/2022;Spain;;Austria;;10;0
2021/2022;Spain;;Azerbaijan;;2;0
2021/2022;Spain;;Belgium;;10;11915189
2021/2022;Spain;;Brazil;;32;15134366,04
2021/2022;Spain;;Bulgaria;;2;0
2021/2022;Spain;;Chile;;8;8250000
2021/2022;Spain;;Cameroon;;2;0
2021/2022;Spain;;Colombia;;2;0
2021/2022;Spain;;Cyprus;;10;0
2021/2022;Spain;;Ecuador;;2;0
2021/2022;Spain;;England;;48;169341163,8
2021/2022;Spain;;France;;24;126429573,5
2021/2022;Spain;;Faroe Islands;;2;0
2021/2022;Spain;;Germany;;20;43738317,87
2021/2022;Spain;;Greece;;20;0
2021/2022;Spain;;Honduras;;2;322866,4756
2021/2022;Spain;;Hungary;;2;0
2021/2022;Spain;;Israel;;8;605374,6418
2021/2022;Spain;;Italy;;48;237846668
2021/2022;Spain;;Kazakhstan;;2;0
2021/2022;Spain;;Mexico;;4;201791,5473
2021/2022;Spain;;FYR Macedonia;;2;2219707,02
2021/2022;Spain;;Netherlands;;10;11703909,74
2021/2022;Spain;;Nigeria;;2;0
2021/2022;Spain;;Niger;;2;0
2021/2022;Spain;;Paraguay;;2;161433,2378
2021/2022;Spain;;Peru;;2;262329,0114
2021/2022;Spain;;Portugal;;54;439821166,6
2021/2022;Spain;;Romania;;8;0
2021/2022;Spain;;Russia;;8;0
2021/2022;Spain;;Scotland;;8;0
2021/2022;Spain;;Senegal;;2;0
2021/2022;Spain;;Serbia;;4;1210749,284
2021/2022;Spain;;Switzerland;;12;0
2021/2022;Spain;;Slovakia;;2;0
2021/2022;Spain;;Slovenia;;4;0
2021/2022;Spain;;Sweden;;10;0
2021/2022;Spain;;Turkey;;10;52602429,88
2021/2022;Spain;;Ukraine;;6;19792609,35
2021/2022;Spain;;Uruguay;;18;17931196,89
2021/2022;Spain;;USA;;4;0
2021/2022;Spain;;Venezuela;;6;0
2021/2022;Estonia;;Armenia;;2;0
2021/2022;Estonia;;Azerbaijan;;2;0
2021/2022;Estonia;;Brazil;;2;0
2021/2022;Estonia;;Czech Republic;;2;0
2021/2022;Estonia;;Finland;;6;0
2021/2022;Estonia;;Georgia;;2;0
2021/2022;Estonia;;Germany;;8;0
2021/2022;Estonia;;Italy;;2;0
2021/2022;Estonia;;Japan;;2;0
2021/2022;Estonia;;Korea Republic;;2;0
2021/2022;Estonia;;Lithuania;;18;0
2021/2022;Estonia;;Latvia;;6;0
2021/2022;Estonia;;Netherlands;;2;0
2021/2022;Estonia;;Norway;;2;161433,2378
2021/2022;Estonia;;Poland;;6;0
2021/2022;Estonia;;Portugal;;2;0
2021/2022;Estonia;;Romania;;2;0
2021/2022;Estonia;;Russia;;14;0
2021/2022;Estonia;;Sweden;;2;0
2021/2022;Estonia;;USA;;4;0
2021/2022;Finland;;Albania;;2;0
2021/2022;Finland;;Argentina;;2;0
2021/2022;Finland;;Australia;;4;0
2021/2022;Finland;;Azerbaijan;;2;0
2021/2022;Finland;;Benin;;4;0
2021/2022;Finland;;Brazil;;2;0
2021/2022;Finland;;Canada;;6;0
2021/2022;Finland;;Cameroon;;2;0
2021/2022;Finland;;Cyprus;;2;0
2021/2022;Finland;;Czech Republic;;2;0
2021/2022;Finland;;Egypt;;4;160290,8754
2021/2022;Finland;;England;;8;1410,724436
2021/2022;Finland;;Spain;;2;0
2021/2022;Finland;;Estonia;;2;0
2021/2022;Finland;;France;;4;0
2021/2022;Finland;;Gambia;;2;0
2021/2022;Finland;;Georgia;;4;0
2021/2022;Finland;;Germany;;8;0
2021/2022;Finland;;Ghana;;2;0
2021/2022;Finland;;Greece;;6;0
2021/2022;Finland;;Hungary;;4;0
2021/2022;Finland;;India;;4;0
2021/2022;Finland;;Republic of Ireland;;2;0
2021/2022;Finland;;Israel;;2;0
2021/2022;Finland;;Italy;;6;0
2021/2022;Finland;;Jamaica;;2;0
2021/2022;Finland;;Kazakhstan;;2;0
2021/2022;Finland;;Mexico;;4;0
2021/2022;Finland;;FYR Macedonia;;8;0
2021/2022;Finland;;Netherlands;;4;0
2021/2022;Finland;;Nigeria;;8;0
2021/2022;Finland;;Norway;;6;0
2021/2022;Finland;;Poland;;2;0
2021/2022;Finland;;Portugal;;2;0
2021/2022;Finland;;South Africa;;2;0
2021/2022;Finland;;Russia;;4;0
2021/2022;Finland;;Senegal;;2;0
2021/2022;Finland;;El Salvador;;2;60000
2021/2022;Finland;;Serbia;;6;0
2021/2022;Finland;;Sweden;;24;191010,5915
2021/2022;Finland;;Thailand;;6;0
2021/2022;Finland;;Turkey;;2;0
2021/2022;Finland;;USA;;24;0
2021/2022;Finland;;Wales;;2;0
2021/2022;France;;Algeria;;16;0
2021/2022;France;;Argentina;;8;6860912,607
2021/2022;France;;Austria;;4;12914659,02
2021/2022;France;;Azerbaijan;;2;0
2021/2022;France;;Belgium;;34;35111729,22
2021/2022;France;;Burkina Faso;;8;686091,2607
2021/2022;France;;Belarus;;2;1008957,736
2021/2022;France;;Brazil;;22;25223943,41
2021/2022;France;;Canada;;6;0
2021/2022;France;;Chile;;6;4886698,017
2021/2022;France;;China PR;;2;0
2021/2022;France;;Côte d'Ivoire;;4;496407,2062
2021/2022;France;;Cameroon;;8;2925977,435
2021/2022;France;;Costa Rica;;2;4842997,134
2021/2022;France;;Croatia;;4;2825081,662
2021/2022;France;;Cyprus;;6;0
2021/2022;France;;Czech Republic;;6;0
2021/2022;France;;Denmark;;4;963895,5357
2021/2022;France;;England;;44;57473318,09
2021/2022;France;;Spain;;26;25266425,85
2021/2022;France;;Estonia;;4;0
2021/2022;France;;Finland;;2;0
2021/2022;France;;Gabon;;2;201791,5473
2021/2022;France;;Germany;;20;19085908,41
2021/2022;France;;Greece;;26;807166,189
2021/2022;France;;Haiti;;2;0
2021/2022;France;;Hungary;;2;0
2021/2022;France;;Republic of Ireland;;2;0
2021/2022;France;;Israel;;8;0
2021/2022;France;;Italy;;36;301631545,9
2021/2022;France;;Kazakhstan;;2;0
2021/2022;France;;Luxembourg;;6;0
2021/2022;France;;Madagascar;;6;0
2021/2022;France;;Morocco;;16;0
2021/2022;France;;Moldova;;2;0
2021/2022;France;;Mexico;;2;0
2021/2022;France;;Mali;;8;908061,9626
2021/2022;France;;Netherlands;;2;0
2021/2022;France;;Niger;;2;0
2021/2022;France;;Norway;;2;0
2021/2022;France;;Peru;;2;0
2021/2022;France;;Portugal;;18;0
2021/2022;France;;Qatar;;2;0
2021/2022;France;;Romania;;12;4842997,134
2021/2022;France;;Russia;;8;7315705,443
2021/2022;France;;Scotland;;2;0
2021/2022;France;;Senegal;;12;1977557,163
2021/2022;France;;Singapore;;6;0
2021/2022;France;;Serbia;;6;7385570,63
2021/2022;France;;Switzerland;;16;13620929,44
2021/2022;France;;Slovakia;;2;1059405,623
2021/2022;France;;Slovenia;;2;0
2021/2022;France;;Tunisia;;14;9080619,626
2021/2022;France;;Turkey;;8;29802173,89
2021/2022;France;;United Arab Emirates;;8;4439414,04
2021/2022;France;;Ukraine;;2;0
2021/2022;France;;USA;;2;0
2021/2022;France;;Venezuela;;4;1130032,665
