Month,Day,Day Of Week,Airline,Origin Airport Delay Rate,Destination Airport Delay Rate,Scheduled Time,Distance,Scheduled Departure Hour,Scheduled Departure Minute,Arrival Delay
1,1,4,AA,0.5414123801220575,0.51004702864472,240,1303,18,25,15.0
1,5,1,WN,0.0,0.0,60,328,18,30,9.0
1,7,3,B6,0.0,0.0,242,1598,6,2,32.0
1,7,3,DL,0.0,0.0,219,1276,9,0,-35.0
1,2,5,US,0.5414123801220575,0.51004702864472,231,1303,16,10,5.0
1,2,5,EV,0.5444444444444444,0.0,97,476,14,25,-23.0
1,5,1,MQ,0.5671476137624861,0.0,143,764,7,50,15.0
1,2,5,AS,0.0,0.0,249,1533,23,10,17.0
1,5,1,OO,0.0,0.0,199,1187,6,5,-41.0
1,1,4,WN,0.0,0.0,60,159,14,55,-14.0
1,5,1,UA,0.5260416666666666,0.5013150973172015,188,1015,9,17,9.0
1,6,2,US,0.0,0.0,143,912,6,10,-18.0
1,6,2,US,0.0,0.0,161,808,9,44,1.0
1,2,5,WN,0.5259433962264151,0.0,135,829,13,25,15.0
1,5,1,WN,0.0,0.0,145,704,6,35,-14.0
1,6,2,DL,0.0,0.0,222,1416,15,46,-3.0
1,5,1,DL,0.0,0.0,192,1399,0,55,-14.0
1,2,5,EV,0.5356359649122807,0.0,200,1075,14,34,2.0
1,1,4,WN,0.0,0.0,185,1363,8,55,-6.0
1,5,1,UA,0.6024960169941582,0.0,180,1024,19,13,25.0
1,6,2,MQ,0.6944444444444444,0.51004702864472,152,691,6,2,202.0
1,4,7,DL,0.0,0.0,349,2239,19,56,39.0
1,5,1,EV,0.0,0.0,78,300,7,40,-8.0
1,1,4,OO,0.0,0.0,70,266,7,15,3.0
1,1,4,AA,0.0,0.0,80,337,12,15,3.0
1,1,4,MQ,0.0,0.5669613974552512,90,265,8,30,-16.0
1,3,6,UA,0.0,0.5669613974552512,93,315,15,30,75.0
1,5,1,AA,0.0,0.0,117,594,8,15,1.0
1,4,7,DL,0.5681016231474947,0.0,118,591,13,45,76.0
1,2,5,F9,0.5444444444444444,0.5013150973172015,177,977,6,5,11.0
1,4,7,WN,0.0,0.0,85,486,15,45,-5.0
1,4,7,AA,0.5444444444444444,0.51004702864472,155,761,7,5,-12.0
1,7,3,DL,0.0,0.0,129,547,6,59,-5.0
1,2,5,WN,0.0,0.0,60,272,8,40,4.0
1,1,4,WN,0.0,0.5013150973172015,110,533,20,25,47.0
1,3,6,US,0.6024960169941582,0.0,130,602,8,5,5.0
1,4,7,WN,0.0,0.5013150973172015,115,628,5,55,-22.0
1,5,1,US,0.0,0.0,121,742,10,45,-4.0
1,1,4,EV,0.5671476137624861,0.0,110,419,17,30,-18.0
1,2,5,DL,0.0,0.0,86,406,17,35,-5.0
1,2,5,UA,0.6024960169941582,0.0,151,862,22,4,20.0
1,5,1,OO,0.0,0.0,137,695,10,8,11.0
1,1,4,OO,0.0,0.0,108,522,12,9,7.0
1,4,7,DL,0.0,0.0,217,1599,15,15,71.0
1,6,2,AS,0.0,0.0,350,2701,14,15,-27.0
1,5,1,DL,0.0,0.0,312,2486,23,37,-24.0
1,2,5,B6,0.0,0.0,84,413,9,38,-7.0
1,1,4,WN,0.5681016231474947,0.0,115,583,17,45,15.0
1,5,1,WN,0.0,0.0,145,806,9,20,-6.0
1,7,3,WN,0.0,0.0,215,1209,10,55,15.0
1,3,6,B6,0.0,0.0,162,1069,8,18,9.0
1,2,5,WN,0.5259433962264151,0.0,75,283,18,40,-17.0
1,6,2,EV,0.0,0.0,69,302,6,15,-1.0
1,1,4,AS,0.0,0.0,360,2520,18,15,-1.0
1,3,6,WN,0.0,0.0,90,472,19,50,62.0
1,3,6,DL,0.5356359649122807,0.0,189,1127,10,0,2.0
1,6,2,OO,0.6091626479614204,0.5609756097560976,70,222,10,10,6.0
1,5,1,MQ,0.5671476137624861,0.0,113,502,6,30,-4.0
1,2,5,EV,0.5356359649122807,0.0,127,625,19,55,-12.0
1,2,5,EV,0.0,0.0,81,341,16,31,15.0
1,6,2,WN,0.5681016231474947,0.0,65,271,21,40,45.0
1,1,4,OO,0.0,0.0,93,347,11,5,6.0
1,5,1,US,0.0,0.5909090909090909,81,184,7,0,73.0
1,5,1,WN,0.0,0.0,165,1262,15,0,40.0
1,1,4,WN,0.0,0.0,65,281,12,25,15.0
1,2,5,DL,0.0,0.5909090909090909,159,1020,15,21,-29.0
1,1,4,VX,0.0,0.5909090909090909,190,1381,13,25,-13.0
1,3,6,DL,0.0,0.5013150973172015,211,1199,20,30,-13.0
1,3,6,WN,0.0,0.0,90,447,7,30,-19.0
1,3,6,DL,0.0,0.0,203,1454,12,45,12.0
1,5,1,UA,0.5671476137624861,0.5013150973172015,276,1620,12,0,9.0
1,5,1,NK,0.0,0.0,158,1046,10,28,26.0
1,1,4,WN,0.0,0.0,225,1371,13,55,-2.0
1,6,2,AA,0.5535870516185477,0.0,131,936,11,5,8.0
1,4,7,WN,0.0,0.0,60,302,6,10,1.0
1,2,5,WN,0.0,0.0,105,547,8,40,-15.0
1,5,1,WN,0.0,0.0,200,1188,6,55,23.0
1,4,7,US,0.5414123801220575,0.0,145,742,7,50,-8.0
1,4,7,F9,0.0,0.0,170,1062,9,40,-4.0
1,2,5,AA,0.6091626479614204,0.0,275,1721,8,25,-2.0
1,3,6,WN,0.0,0.0,150,991,13,25,5.0
1,4,7,WN,0.0,0.0,155,711,7,35,5.0
1,5,1,DL,0.0,0.0,91,481,15,40,-1.0
1,2,5,DL,0.0,0.0,154,946,10,5,-11.0
1,4,7,WN,0.0,0.0,200,1188,6,55,-10.0
1,6,2,WN,0.0,0.0,210,1246,15,35,-16.0
1,4,7,AA,0.0,0.51004702864472,175,985,11,15,4.0
1,4,7,AA,0.5535870516185477,0.0,125,731,15,15,71.0
1,3,6,UA,0.0,0.5013150973172015,225,1290,8,50,45.0
1,6,2,MQ,0.5655172413793104,0.5669613974552512,55,108,5,40,11.0
1,1,4,WN,0.5681016231474947,0.0,175,937,16,25,-14.0
1,2,5,EV,0.0,0.0,76,326,22,5,-10.0
1,3,6,MQ,0.6091626479614204,0.6551724137931034,98,501,19,40,123.0
1,4,7,WN,0.0,0.0,105,670,15,15,63.0
1,4,7,DL,0.0,0.0,74,250,12,30,-12.0
1,3,6,AA,0.5535870516185477,0.0,210,1235,19,40,7.0
1,2,5,EV,0.0,0.0,74,304,14,54,13.0
1,2,5,OO,0.0,0.5669613974552512,172,1041,6,19,-7.0
1,1,4,OO,0.6024960169941582,0.51004702864472,115,641,9,58,33.0
1,4,7,DL,0.0,0.5013150973172015,133,680,14,15,69.0
1,5,1,WN,0.0,0.0,95,395,10,30,-3.0
1,4,7,UA,0.5166666666666667,0.5669613974552512,97,416,6,0,68.0
1,6,2,WN,0.0,0.0,85,446,20,5,-3.0
1,7,3,DL,0.0,0.0,92,368,8,43,-11.0
1,5,1,DL,0.0,0.0,95,432,9,39,-7.0
1,2,5,DL,0.0,0.0,124,761,6,0,13.0
1,2,5,MQ,0.6091626479614204,0.0,48,116,16,10,-7.0
1,1,4,DL,0.5788461538461539,0.0,68,237,9,12,-4.0
1,6,2,WN,0.0,0.0,110,495,20,20,120.0
1,6,2,EV,0.0,0.0,81,357,9,9,-4.0
1,2,5,UA,0.0,0.0,329,2583,14,10,5.0
1,5,1,AA,0.0,0.51004702864472,140,868,14,10,159.0
1,3,6,WN,0.0,0.0,75,370,12,5,14.0
1,5,1,WN,0.0,0.0,105,481,16,25,14.0
1,1,4,WN,0.0,0.0,70,325,16,55,-3.0
1,4,7,WN,0.0,0.0,130,829,18,35,21.0
1,6,2,EV,0.5356359649122807,0.0,73,231,10,10,87.0
1,1,4,UA,0.0,0.5669613974552512,180,867,14,15,-11.0
1,6,2,F9,0.0,0.5013150973172015,148,1024,19,45,3.0
1,2,5,WN,0.0,0.0,120,689,11,50,0.0
1,5,1,EV,0.0,0.5455043859649122,142,872,18,8,9.0
1,5,1,OO,0.0,0.0,80,308,14,30,18.0
1,7,3,AA,0.5444444444444444,0.51004702864472,156,761,8,14,9.0
1,1,4,WN,0.0,0.0,210,1209,8,35,-6.0
1,5,1,OO,0.0,0.0,68,216,15,10,-4.0
1,7,3,MQ,0.5866666666666667,0.51004702864472,48,134,10,45,-6.0
1,5,1,AS,0.0,0.0,380,2688,17,25,-3.0
1,2,5,OO,0.0,0.0,68,192,14,21,-13.0
1,5,1,WN,0.0,0.0,150,842,16,35,28.0
1,3,6,WN,0.0,0.0,110,605,16,45,18.0
1,2,5,AA,0.0,0.51004702864472,170,1205,15,45,30.0
1,6,2,F9,0.0,0.0,144,851,10,12,175.0
1,5,1,WN,0.0,0.0,195,1165,7,5,11.0
1,6,2,WN,0.0,0.0,115,682,6,0,63.0
1,2,5,EV,0.0,0.0,61,240,9,59,63.0
1,2,5,OO,0.0,0.0,47,86,13,55,-10.0
1,3,6,WN,0.0,0.0,120,591,9,35,31.0
1,4,7,WN,0.0,0.0,110,687,11,40,23.0
1,5,1,DL,0.0,0.0,64,214,9,50,-11.0
1,3,6,WN,0.0,0.0,170,990,16,35,33.0
1,5,1,AA,0.0,0.51004702864472,100,569,12,15,20.0
1,3,6,WN,0.0,0.0,80,368,13,50,18.0
1,5,1,WN,0.0,0.0,130,611,17,20,-1.0
1,3,6,WN,0.0,0.5013150973172015,160,853,6,55,-11.0
1,6,2,OO,0.0,0.0,102,501,12,19,-2.0
1,4,7,OO,0.0,0.0,161,867,13,30,8.0
1,4,7,AA,0.6024960169941582,0.51004702864472,115,641,16,10,170.0
1,3,6,UA,0.6024960169941582,0.5669613974552512,149,888,16,50,57.0
1,4,7,EV,0.5252525252525253,0.0,97,517,11,1,49.0
1,4,7,DL,0.0,0.0,88,404,20,55,28.0
1,4,7,AA,0.0,0.51004702864472,200,1345,7,15,-5.0
1,4,7,EV,0.5535870516185477,0.8,45,140,21,45,92.0
1,5,1,UA,0.0,0.0,346,2449,17,21,-15.0
1,4,7,WN,0.0,0.0,95,562,16,40,-22.0
1,3,6,WN,0.0,0.0,260,2039,8,45,48.0
1,6,2,AA,0.5671476137624861,0.0,202,1096,9,40,32.0
1,5,1,HA,0.0,0.0,52,216,16,0,8.0
1,4,7,DL,0.0,0.0,62,214,20,30,-6.0
1,5,1,WN,0.0,0.0,75,283,11,45,1.0
1,3,6,DL,0.0,0.0,110,545,16,36,2.0
1,3,6,WN,0.0,0.0,70,370,21,45,94.0
1,1,4,EV,0.0,0.0,92,562,21,12,50.0
1,1,4,MQ,0.6091626479614204,0.5794392523364486,103,462,15,25,-11.0
1,1,4,DL,0.0,0.0,122,581,13,45,-18.0
1,4,7,OO,0.0,0.0,215,1504,23,39,7.0
1,4,7,DL,0.5788461538461539,0.0,67,237,9,17,39.0
1,5,1,OO,0.0,0.0,86,421,13,57,3.0
1,1,4,EV,0.0,0.0,71,317,10,25,-14.0
1,4,7,B6,0.0,0.0,136,846,7,0,-15.0
1,7,3,UA,0.0,0.5455043859649122,240,1585,2,55,69.0
1,6,2,OO,0.6091626479614204,0.0,124,717,21,0,-11.0
1,3,6,WN,0.0,0.5013150973172015,175,1014,5,50,-10.0
1,6,2,B6,0.0,0.0,78,319,7,25,-15.0
1,4,7,WN,0.0,0.578125,145,986,10,40,37.0
1,1,4,MQ,0.0,0.0,109,530,9,20,-8.0
1,6,2,DL,0.0,0.0,202,1587,0,45,-9.0
1,2,5,WN,0.0,0.0,165,1164,7,10,3.0
1,6,2,EV,0.5671476137624861,0.0,115,419,11,0,4.0
1,6,2,WN,0.0,0.0,90,480,7,0,-9.0
1,5,1,B6,0.0,0.0,156,1005,16,21,8.0
1,5,1,WN,0.0,0.0,65,255,7,0,-9.0
1,5,1,UA,0.6024960169941582,0.0,134,862,14,45,266.0
1,3,6,EV,0.0,0.0,77,377,16,40,-12.0
1,2,5,AA,0.5535870516185477,0.0,95,597,14,55,28.0
1,5,1,DL,0.0,0.5714285714285714,133,743,15,0,31.0
1,7,3,MQ,0.5535870516185477,0.5642857142857143,133,821,8,25,15.0
1,4,7,UA,0.0,0.0,125,679,18,55,8.0
1,6,2,US,0.0,0.0,98,546,9,25,-5.0
1,3,6,AA,0.5535870516185477,0.0,60,190,9,25,51.0
1,5,1,AS,0.0,0.0,123,679,13,0,17.0
1,4,7,AA,0.0,0.0,244,1972,15,59,0.0
1,2,5,B6,0.0,0.0,252,1674,14,10,8.0
1,3,6,UA,0.0,0.5669613974552512,241,1744,16,30,15.0
1,6,2,B6,0.5671476137624861,0.0,181,950,6,30,-27.0
1,2,5,AA,0.5535870516185477,0.0,140,936,6,25,-5.0
1,4,7,EV,0.6024960169941582,0.0,151,1024,9,58,2.0
1,2,5,EV,0.0,0.0,165,837,13,58,-8.0
1,3,6,WN,0.5681016231474947,0.0,70,307,21,25,20.0
1,2,5,US,0.0,0.0,127,650,21,5,-16.0
1,4,7,US,0.0,0.0,239,1576,13,30,127.0
1,5,1,DL,0.0,0.0,245,1919,12,50,22.0
1,2,5,B6,0.0,0.0,173,937,16,29,89.0
1,4,7,WN,0.0,0.0,90,587,8,5,-10.0
1,4,7,US,0.0,0.0,110,601,17,50,23.0
1,1,4,WN,0.0,0.0,165,1036,14,0,-6.0
1,2,5,EV,0.0,0.5669613974552512,158,864,11,2,-3.0
1,4,7,OO,0.5625,0.0,57,150,6,45,-29.0
1,4,7,EV,0.0,0.0,95,374,6,30,22.0
1,2,5,WN,0.0,0.0,60,302,19,40,12.0
1,1,4,UA,0.0,0.5669613974552512,232,1721,11,28,-19.0
1,6,2,AA,0.5535870516185477,0.0,145,985,14,20,57.0
1,3,6,MQ,0.6091626479614204,0.0,58,177,10,20,52.0
1,7,3,WN,0.0,0.0,60,239,6,0,-4.0
1,6,2,UA,0.0,0.5669613974552512,97,403,18,42,-7.0
1,2,5,MQ,0.5535870516185477,0.6,103,561,12,20,51.0
1,6,2,EV,0.5259433962264151,0.5455043859649122,106,463,17,39,48.0
1,3,6,NK,0.0,0.0,190,1306,15,40,21.0
1,4,7,DL,0.0,0.5013150973172015,211,1199,18,55,-12.0
1,5,1,US,0.0,0.0,295,1916,18,0,-6.0
1,5,1,WN,0.0,0.0,85,404,14,35,-11.0
1,1,4,WN,0.5671476137624861,0.0,170,762,15,20,-23.0
1,5,1,DL,0.0,0.0,153,813,14,15,-18.0
1,5,1,AA,0.5535870516185477,0.0,260,1660,10,50,15.0
1,5,1,US,0.5414123801220575,0.0,160,861,8,0,34.0
1,3,6,AA,0.5182724252491694,0.0,400,2586,8,0,-29.0
1,6,2,UA,0.0,0.0,92,447,20,4,58.0
1,3,6,EV,0.0,0.0,72,300,20,54,93.0
1,4,7,WN,0.5166666666666667,0.0,85,423,18,50,142.0
1,1,4,EV,0.0,0.6233766233766234,151,803,10,26,-9.0
1,6,2,OO,0.6024960169941582,0.0,160,916,11,38,-14.0
1,2,5,WN,0.0,0.0,230,1735,12,35,11.0
1,5,1,WN,0.0,0.5909090909090909,135,762,20,10,34.0
1,6,2,EV,0.0,0.0,76,377,12,5,-8.0
1,3,6,OO,0.5625,0.0,54,150,12,22,-5.0
1,2,5,NK,0.0,0.0,144,965,14,0,-10.0
1,4,7,WN,0.6024960169941582,0.0,110,602,22,5,40.0
1,4,7,US,0.0,0.0,359,2300,9,40,13.0
1,3,6,EV,0.0,0.5387205387205387,134,781,11,7,21.0
1,6,2,EV,0.5259433962264151,0.5455043859649122,105,463,6,5,162.0
1,2,5,AA,0.5535870516185477,0.0,165,989,11,50,-7.0
1,3,6,B6,0.0,0.0,133,828,18,47,113.0
1,2,5,WN,0.0,0.0,65,258,12,5,-8.0
1,3,6,DL,0.0,0.0,110,546,22,0,20.0
1,4,7,EV,0.56,0.0,216,1330,14,9,-22.0
1,1,4,B6,0.0,0.0,78,209,13,51,6.0
1,1,4,WN,0.0,0.0,120,646,19,25,13.0
1,2,5,B6,0.0,0.0,171,1197,20,15,-3.0
1,1,4,WN,0.5681016231474947,0.0,235,1440,19,15,28.0
1,5,1,B6,0.5671476137624861,0.0,180,1035,14,15,104.0
1,4,7,HA,0.0,0.0,32,102,21,6,7.0
1,5,1,DL,0.0,0.0,54,134,8,35,0.0
1,5,1,UA,0.0,0.5669613974552512,168,1012,6,30,4.0
1,1,4,OO,0.56,0.0,117,546,6,20,-7.0
1,6,2,MQ,0.0,0.5909090909090909,93,431,19,30,-10.0
1,2,5,AA,0.0,0.51004702864472,165,1055,7,0,36.0
1,5,1,US,0.0,0.0,99,546,16,30,-11.0
1,6,2,WN,0.0,0.0,75,328,14,25,5.0
1,2,5,US,0.0,0.0,98,430,12,5,-16.0
1,5,1,US,0.0,0.0,96,399,21,0,7.0
1,6,2,US,0.0,0.0,165,1107,11,30,8.0
1,1,4,VX,0.0,0.0,410,2704,11,0,-5.0
1,4,7,DL,0.0,0.0,124,554,6,0,-6.0
1,6,2,AA,0.6091626479614204,0.0,283,1846,8,40,47.0
1,6,2,WN,0.0,0.0,205,1587,17,45,149.0
1,7,3,F9,0.0,0.0,115,651,10,20,9.0
1,3,6,AA,0.5535870516185477,0.0,60,190,17,10,204.0
1,7,3,B6,0.0,0.0,84,399,6,0,5.0
1,6,2,EV,0.0,0.0,67,195,12,10,37.0
1,3,6,AA,0.0,0.5013150973172015,274,1709,11,0,-23.0
1,7,3,WN,0.0,0.0,60,223,7,5,-5.0
1,4,7,UA,0.0,0.0,269,2065,13,43,5.0
1,2,5,EV,0.0,0.0,122,705,15,46,-20.0
1,1,4,MQ,0.0,0.5669613974552512,115,585,14,10,16.0
1,5,1,WN,0.0,0.0,85,386,15,55,8.0
1,1,4,F9,0.6024960169941582,0.51004702864472,105,641,19,45,106.0
1,2,5,MQ,0.5535870516185477,0.5520833333333334,158,968,20,15,110.0
1,4,7,WN,0.0,0.0,80,390,7,50,-12.0
1,4,7,AS,0.0,0.0,247,1542,9,45,-17.0
1,4,7,US,0.0,0.0,124,650,18,5,48.0
1,4,7,DL,0.0,0.0,120,646,17,40,-9.0
1,2,5,AA,0.0,0.0,194,1258,18,45,33.0
1,3,6,EV,0.0,0.0,154,817,18,51,43.0
1,2,5,UA,0.0,0.0,394,2565,14,39,-14.0
1,6,2,B6,0.0,0.0,70,209,11,31,38.0
1,7,3,WN,0.0,0.0,145,920,9,35,-9.0
1,3,6,WN,0.0,0.0,60,296,18,30,105.0
1,2,5,B6,0.0,0.0,103,444,12,5,22.0
1,3,6,WN,0.0,0.0,105,569,15,5,15.0
1,5,1,AA,0.5535870516185477,0.0,55,175,18,55,1.0
1,1,4,AA,0.5535870516185477,0.0,60,190,20,10,112.0
1,2,5,AS,0.0,0.0,159,978,12,25,6.0
1,3,6,WN,0.0,0.0,125,735,16,5,45.0
1,3,6,DL,0.0,0.0,160,907,19,0,-7.0
1,5,1,DL,0.5356359649122807,0.0,97,405,19,50,-5.0
1,3,6,WN,0.5671476137624861,0.0,165,762,20,30,18.0
1,6,2,OO,0.0,0.0,101,493,6,5,-12.0
1,4,7,AA,0.0,0.51004702864472,215,1192,7,30,6.0
1,3,6,EV,0.0,0.0,99,457,12,23,12.0
1,7,3,OO,0.7046979865771812,0.5669613974552512,166,1013,7,55,-8.0
1,1,4,UA,0.6024960169941582,0.0,144,853,19,20,83.0
1,2,5,US,0.5535870516185477,0.0,155,868,21,20,3.0
1,4,7,AS,0.0,0.0,360,2329,8,0,31.0
1,1,4,AS,0.0,0.0,132,873,16,55,-9.0
1,5,1,WN,0.0,0.0,225,1371,13,55,0.0
1,1,4,AS,0.0,0.0,310,2304,23,20,-26.0
1,3,6,UA,0.6024960169941582,0.0,197,1476,9,57,18.0
1,5,1,MQ,0.5535870516185477,0.0,143,999,20,15,83.0
1,5,1,US,0.5414123801220575,0.0,165,992,13,35,-8.0
1,3,6,DL,0.0,0.0,268,2182,12,2,36.0
1,6,2,UA,0.0,0.0,89,337,17,25,-19.0
1,6,2,WN,0.0,0.0,185,1371,10,10,-6.0
1,4,7,US,0.0,0.0,111,600,17,15,16.0
1,6,2,WN,0.0,0.0,85,480,21,15,2.0
1,6,2,OO,0.0,0.0,47,86,15,45,-12.0
1,3,6,OO,0.0,0.0,136,694,9,0,12.0
1,4,7,WN,0.0,0.0,100,590,16,25,40.0
1,5,1,AA,0.5535870516185477,0.0,161,1121,5,15,-17.0
1,1,4,WN,0.0,0.0,215,1670,16,35,-16.0
1,5,1,DL,0.0,0.0,158,813,18,59,-15.0
1,6,2,DL,0.5182724252491694,0.0,335,1990,9,35,57.0
1,3,6,B6,0.5671476137624861,0.0,192,1076,10,41,25.0
1,1,4,OO,0.0,0.0,125,618,15,4,-17.0
1,1,4,WN,0.0,0.0,95,562,16,40,-19.0
1,6,2,WN,0.0,0.0,125,623,18,10,-23.0
1,4,7,NK,0.6024960169941582,0.0,112,628,18,45,69.0
1,4,7,WN,0.0,0.0,145,973,8,25,0.0
1,6,2,WN,0.0,0.0,80,347,10,5,144.0
1,2,5,WN,0.5681016231474947,0.0,135,825,9,55,-5.0
1,5,1,WN,0.0,0.0,325,2106,20,25,71.0
1,4,7,WN,0.0,0.0,80,377,22,5,-10.0
1,3,6,WN,0.0,0.5460992907801419,55,192,10,30,-3.0
1,6,2,OO,0.6024960169941582,0.0,60,212,7,57,4.0
1,5,1,EV,0.0,0.0,65,240,9,8,24.0
1,4,7,WN,0.0,0.0,210,1313,13,10,1.0
1,6,2,UA,0.0,0.5909090909090909,204,1416,19,2,22.0
1,6,2,VX,0.0,0.0,195,1476,11,40,22.0
1,6,2,HA,0.0,0.0,38,102,9,42,-2.0
1,4,7,EV,0.0,0.0,130,878,19,0,0.0
1,2,5,DL,0.0,0.0,285,1797,16,55,-29.0
1,4,7,MQ,0.0,0.51004702864472,45,89,16,0,62.0
1,2,5,WN,0.0,0.0,140,793,6,45,-22.0
1,1,4,AS,0.0,0.0,350,2717,8,40,16.0
1,1,4,WN,0.0,0.0,195,1482,8,30,5.0
1,2,5,AA,0.0,0.0,69,192,14,35,-10.0
1,7,3,DL,0.5444444444444444,0.0,291,1814,7,9,-16.0
1,6,2,OO,0.0,0.0,83,308,7,5,-2.0
1,1,4,WN,0.0,0.0,90,446,12,20,35.0
1,5,1,AA,0.5182724252491694,0.51004702864472,250,1391,9,0,9.0
1,6,2,AA,0.0,0.0,255,1592,8,0,-34.0
1,3,6,OO,0.5365853658536586,0.5013150973172015,116,679,12,44,54.0
1,6,2,B6,0.0,0.0,220,1249,10,25,19.0
1,1,4,B6,0.6091626479614204,0.0,123,740,9,56,0.0
1,6,2,AA,0.0,0.5669613974552512,246,1723,6,44,-11.0
1,6,2,DL,0.0,0.0,238,1749,6,0,68.0
1,7,3,WN,0.0,0.5013150973172015,210,1199,6,20,13.0
1,3,6,WN,0.0,0.0,85,479,16,25,22.0
1,3,6,EV,0.0,0.0,91,468,16,25,37.0
1,2,5,UA,0.0,0.0,173,1208,12,50,-12.0
1,5,1,VX,0.0,0.0,320,2611,21,45,-7.0
1,4,7,AS,0.0,0.0,135,834,17,55,0.0
1,3,6,AA,0.5535870516185477,0.0,200,1235,13,30,11.0
1,5,1,MQ,0.5671476137624861,0.0,118,479,19,30,72.0
1,6,2,US,0.5671476137624861,0.0,67,184,21,0,27.0
1,6,2,UA,0.0,0.0,205,1195,17,37,38.0
1,2,5,B6,0.0,0.0,213,1237,6,11,65.0
1,6,2,B6,0.0,0.0,90,474,11,30,82.0
1,5,1,OO,0.0,0.0,78,308,6,25,-1.0
1,3,6,US,0.0,0.0,241,1562,17,15,27.0
1,3,6,WN,0.0,0.0,170,1005,10,50,57.0
1,5,1,B6,0.0,0.0,140,944,22,1,6.0
1,2,5,US,0.5414123801220575,0.0,319,2075,8,45,-9.0
1,2,5,US,0.5182724252491694,0.0,119,541,12,0,17.0
1,7,3,DL,0.0,0.0,84,352,8,30,-9.0
1,7,3,DL,0.0,0.0,127,577,8,45,-6.0
1,1,4,WN,0.0,0.0,75,328,8,0,20.0
1,4,7,WN,0.0,0.0,60,197,9,25,-2.0
