,km,(TWF),(WRI)
0,149,0,202900
0,149,0,38394
0,149,0,1083301
0,149,0,566730
0,149,0,273800
0,149,0,25680
0,149,0,622984
0,149,0,1259200
0,149,0,77247
0,149,0,1000000
0,149,0,89608
0,149,0,191801
0,149,0,230800
0,149,0,30355
0,,,160
0,149,0,2586
0,149,0,94080
0,149,0,1220190
0,149,0,32891
0,149,0,1553556
0,149,0,143351
0,149,0,1266700
0,149,0,25433
0,149,0,397302
0,149,0,24668
0,,,61
0,,,88361
0,149,0,48105
0,,,644329
0,149,0,17204
0,149,0,39997
0,149,0,141510
0,149,0,197100
0.1 0,85,1707,425400
0,,,0.44
0,149,0,743398
0,149,0,386847
,—,763,
,—,581,
,—,369,
,—,361,
,—,219,
